ID,ride_time,dispatch_time,ride_lat,ride_lon,alight_lat,alight_lon,taxi_type,type
0,1380,0,37.45442946,127.16116877,37.44773318,127.1440464,1,0
1,1380,0,37.41232681,127.12915039,37.38166428,127.13263702,1,0
2,1381,0,37.44642258,127.14221954,37.45162582,127.1563797,1,0
3,1383,0,37.43380737,127.13400269,37.4449234,127.15840149,1,0
4,1383,0,37.43024988,127.13687658,37.43527722,127.16595849,1,0
5,1381,0,37.41230249,127.1295236,37.41608665,127.15839744,1,0
6,1382,0,37.36668995,127.12672875,37.37724095,127.13304909,1,0
7,1380,0,37.43241501,127.12892914,37.41023254,127.19939423,1,0
8,1381,0,37.43319398,127.13099475,37.45714659,127.16834225,1,0
9,1381,0,37.44021606,127.1289978,37.44337845,127.15402222,1,0
10,1380,0,37.40202713,127.10548401,37.36549759,127.1188736,1,0
11,1380,0,37.41156769,127.14317322,37.43488693,127.13660431,1,0
12,1384,0,37.38630869,127.12553397,37.38318625,127.1409623,1,0
13,1380,0,37.33925224,127.10893773,37.32688519,127.0842804,1,0
14,1386,0,37.38409805,127.12408447,37.37110519,127.12676239,1,0
15,1384,0,37.45896912,127.16525269,37.44074631,127.17009735,1,0
16,1389,0,37.4461937,127.1651535,37.45145416,127.16854858,1,0
17,1382,0,37.44294739,127.16542053,37.46305084,127.1395874,1,0
18,1382,0,37.37647629,127.11123657,37.33581161,127.0869751,1,0
19,1391,0,37.45894623,127.1648407,37.45421982,127.16551208,1,0
20,1390,0,37.45877626,127.16504798,37.44906755,127.17345498,1,0
21,1382,0,37.43156052,127.17060852,37.43516922,127.14045715,1,0
22,1383,0,37.46522903,127.13850403000001,37.45875549,127.15496063,1,0
23,1391,0,37.36571884,127.10706329,37.35337067,127.10512543,1,0
24,1386,0,37.44364109,127.14092985,37.41659997,127.12458179,1,0
25,1391,0,37.37732331,127.13316229,37.38520036,127.13699624,1,0
26,1387,0,37.43144989,127.12933096,37.44221657,127.17865277,1,0
27,1388,0,37.39471098,127.12521461,37.37153329,127.13990523,1,0
28,1389,0,37.43355942,127.13277435,37.45124435,127.15776062,1,0
29,1389,0,37.39585495,127.11296082,37.41094589,127.12892914,1,0
30,1391,0,37.43320136,127.17021694,37.44654218,127.16653155,1,0
31,1383,0,37.42505594,127.07471875,37.37740017,127.13949741,1,0
