time,waiting_passenger_cnt,fail_passenger_cnt,empty_vehicle_cnt,driving_vehicle_cnt,iter_time(second)
1380,0,0,913,37,
1381,0,0,882,68,
1382,0,0,856,94,
1383,0,0,830,120,
1384,0,0,809,141,
1385,0,0,786,164,
1386,0,0,761,189,
1387,0,0,739,211,
1388,0,0,727,223,
1389,0,0,710,240,
1390,0,0,697,253,
1391,0,0,689,261,
1392,0,0,675,275,
1393,0,0,665,285,
1394,0,0,658,292,
1395,0,0,647,303,
1396,0,0,639,311,
1397,0,0,620,330,
1398,0,0,609,341,
1399,0,0,589,361,
1400,0,0,583,367,
1401,0,0,570,380,
1402,0,0,567,383,
1403,0,0,570,380,
1404,0,0,567,383,
1405,0,0,574,376,
1406,0,0,578,372,
1407,0,0,572,378,
1408,0,0,578,372,
1409,0,0,571,379,
1410,0,0,576,374,
1411,0,0,573,377,
1412,0,0,560,390,
1413,0,0,553,397,
1414,0,0,544,406,
1415,0,0,553,397,
1416,0,0,549,401,
1417,0,0,547,403,
1418,0,0,546,404,
1419,0,0,535,415,
1420,0,0,534,416,
1421,0,0,532,418,
1422,0,0,534,416,
1423,0,0,537,413,
1424,0,0,528,422,
1425,0,0,537,413,
1426,0,0,539,411,
1427,0,0,543,407,
1428,0,0,542,408,
1429,0,0,534,416,
1430,0,0,529,421,
1431,0,0,519,431,
1432,0,0,515,435,
1433,0,0,525,425,
1434,0,0,519,431,
1435,0,0,511,439,
1436,29,0,0,406,
1437,59,0,0,374,
1438,93,0,0,342,
1439,114,0,0,306,
